Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureNumAttributesSelected,measureSelectionTime,measureTime,measureTreeSize,measureNumLeaves,measureNumRules
blinking,1,1,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1178107808933117974,2.02207101253E7,13131.0,1460.0,889.0,571.0,0.0,60.89041095890411,39.10958904109589,0.0,0.0,0.4711579909704242,0.48572128471741693,98.92897248247915,99.53390609416834,1409.6346030194102,1399.610453801023,10.024149218387265,0.9655031527530207,0.9586372971239883,0.006865855629032374,9.46804516161914,0.006484962439465164,0.6716666249068212,0.0,0.0,0.0,0.0,1.0,889.0,1.0,571.0,NaN,0.0,NaN,NaN,0.5646025857976159,0.43400402518237835,0.6089041095890411,0.6089041095890411,0.3910958904109589,0.3910958904109589,NaN,0.6089041095890411,NaN,NaN,0.5646025857976159,0.5676578760130779,NaN,0.6089041095890411,0.146,0.001,0.125,0.0,125.0,0.0,3910.0,802256.0,90325.0,100.0,100.0,?,?,?,?,?,?,?
blinking,1,2,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1178107808933117974,2.02207101253E7,13132.0,1459.0,888.0,571.0,0.0,60.86360520904729,39.13639479095271,0.0,0.0,0.46812405921148603,0.48328374179879924,98.2812140290691,99.02225191993101,1408.9192174479515,1388.0722036491943,20.84701379875719,0.965674583583243,0.9513860203215863,0.014288563261656744,21.959659540464685,0.015051171720674904,1.5586173620543948,0.0,0.0,0.0,0.0,1.0,888.0,1.0,571.0,NaN,0.0,NaN,NaN,0.5818068506334706,0.442544387531115,0.6086360520904729,0.6086360520904729,0.39136394790952705,0.39136394790952705,NaN,0.6086360520904729,NaN,NaN,0.5818068506334706,0.5803936518318972,NaN,0.6086360520904729,0.145,0.0,0.140625,0.0,140.625,0.0,3910.0,802317.0,90264.0,100.0,100.0,?,?,?,?,?,?,?
blinking,1,3,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1178107808933117974,2.02207101253E7,13132.0,1459.0,888.0,571.0,0.0,60.86360520904729,39.13639479095271,0.0,0.0,0.46847250439531696,0.4824084586902789,98.35436902936362,98.84291109594515,1408.9192174479515,1384.5446403025658,24.37457714538573,0.965674583583243,0.9489682250188936,0.016706358564349367,21.98035376568015,0.015065355562494963,1.5600861634561494,0.0,0.0,0.0,0.0,1.0,888.0,1.0,571.0,NaN,0.0,NaN,NaN,0.5894589861314905,0.46148301464235375,0.6086360520904729,0.6086360520904729,0.39136394790952705,0.39136394790952705,NaN,0.6086360520904729,NaN,NaN,0.5894589861314905,0.5906627363848898,NaN,0.6086360520904729,0.104,0.001,0.09375,0.0,93.75,0.0,3910.0,802317.0,90264.0,100.0,100.0,?,?,?,?,?,?,?
blinking,1,4,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1178107808933117974,2.02207101253E7,13132.0,1459.0,888.0,571.0,0.0,60.86360520904729,39.13639479095271,0.0,0.0,0.468081982306686,0.48222034491510263,98.27238011163855,98.80436759028991,1408.9192174479515,1383.76088570245,25.158331745501528,0.965674583583243,0.9484310388639137,0.017243544719329353,23.315777149949707,0.015980656031493973,1.6548696945295973,0.0,0.0,0.0,0.0,1.0,888.0,1.0,571.0,NaN,0.0,NaN,NaN,0.5943204588125779,0.4601676200042363,0.6086360520904729,0.6086360520904729,0.39136394790952705,0.39136394790952705,NaN,0.6086360520904729,NaN,NaN,0.5943204588125779,0.589786555508703,NaN,0.6086360520904729,0.101,0.0,0.09375,0.0,93.75,0.0,3910.0,802317.0,90264.0,100.0,100.0,?,?,?,?,?,?,?
blinking,1,5,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1178107808933117974,2.02207101253E7,13132.0,1459.0,888.0,571.0,0.0,60.86360520904729,39.13639479095271,0.0,0.0,0.4658351558201486,0.4840929734397198,97.80066576484442,99.18805915174593,1408.9192174479515,1391.7097586468062,17.209458801145274,0.965674583583243,0.9538792040074066,0.011795379575836377,29.308532899918752,0.020088096572939515,2.0802138644262955,0.0,0.0,0.0,0.0,1.0,888.0,1.0,571.0,NaN,0.0,NaN,NaN,0.5756742951357663,0.44223712659130976,0.6086360520904729,0.6086360520904729,0.39136394790952705,0.39136394790952705,NaN,0.6086360520904729,NaN,NaN,0.5756742951357662,0.5756850146546372,NaN,0.6086360520904729,0.161,0.001,0.15625,0.0,156.25,0.0,3910.0,802317.0,90264.0,100.0,100.0,?,?,?,?,?,?,?
blinking,1,6,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1178107808933117974,2.02207101253E7,13132.0,1459.0,889.0,570.0,0.0,60.932145305003424,39.067854694996576,0.0,0.0,0.46558456610192067,0.48371300346443835,97.7753182595782,99.14130307907021,1408.2799838522324,1390.2790986756056,18.000885176626753,0.9652364522633532,0.9528986282903397,0.012337823973013539,30.420889155447018,0.020850506617852652,2.1601449643722987,0.0,0.0,0.0,0.0,1.0,889.0,1.0,570.0,NaN,0.0,NaN,NaN,0.5771594340181162,0.44622781570373743,0.6093214530500343,0.6093214530500343,0.39067854694996573,0.39067854694996573,NaN,0.6093214530500343,NaN,NaN,0.5771594340181162,0.5762373000589316,NaN,0.6093214530500343,0.097,0.0,0.09375,0.0,93.75,0.0,3910.0,802317.0,90264.0,100.0,100.0,?,?,?,?,?,?,?
blinking,1,7,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1178107808933117974,2.02207101253E7,13132.0,1459.0,889.0,570.0,0.0,60.932145305003424,39.067854694996576,0.0,0.0,0.4660705350503155,0.4843916046823056,97.87737441017487,99.2803884634377,1408.2799838522324,1392.582765806481,15.69721804575147,0.9652364522633532,0.9544775639523515,0.010758888311001693,26.71641890200929,0.01831145915147998,1.8970956917905457,0.0,0.0,0.0,0.0,1.0,889.0,1.0,570.0,NaN,0.0,NaN,NaN,0.568283898723186,0.4268377639244414,0.6093214530500343,0.6093214530500343,0.39067854694996573,0.39067854694996573,NaN,0.6093214530500343,NaN,NaN,0.568283898723186,0.57369323873017,NaN,0.6093214530500343,0.113,0.001,0.125,0.0,125.0,0.0,3910.0,802317.0,90264.0,100.0,100.0,?,?,?,?,?,?,?
blinking,1,8,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1178107808933117974,2.02207101253E7,13132.0,1459.0,889.0,570.0,0.0,60.932145305003424,39.067854694996576,0.0,0.0,0.46385651264263805,0.48308300563298073,97.41241753379698,99.01217939312349,1408.2799838522324,1387.3173636122413,20.96262023999111,0.9652364522633532,0.9508686522359433,0.014367800027409946,36.49303887900619,0.025012363864980257,2.5913198580855017,0.0,0.0,0.0,0.0,1.0,889.0,1.0,570.0,NaN,0.0,NaN,NaN,0.5829445661397589,0.446483005376413,0.6093214530500343,0.6093214530500343,0.39067854694996573,0.39067854694996573,NaN,0.6093214530500343,NaN,NaN,0.5829445661397589,0.5822089418605184,NaN,0.6093214530500343,0.166,0.001,0.15625,0.0,156.25,0.0,3910.0,802317.0,90264.0,100.0,100.0,?,?,?,?,?,?,?
blinking,1,9,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1178107808933117974,2.02207101253E7,13132.0,1459.0,889.0,570.0,0.0,60.932145305003424,39.067854694996576,0.0,0.0,0.4677356790411775,0.48203582222001956,98.22706380176633,98.79754979379456,1408.2799838522324,1382.7689740607295,25.51100979150283,0.9652364522633532,0.9477511816728784,0.017485270590474864,23.510991751654224,0.016114456306822636,1.6694827748202363,0.0,0.0,0.0,0.0,1.0,889.0,1.0,570.0,NaN,0.0,NaN,NaN,0.5945010163203284,0.45116841925453954,0.6093214530500343,0.6093214530500343,0.39067854694996573,0.39067854694996573,NaN,0.6093214530500343,NaN,NaN,0.5945010163203284,0.5902512713185353,NaN,0.6093214530500343,0.143,0.001,0.140625,0.0,140.625,0.0,3910.0,802317.0,90264.0,100.0,100.0,?,?,?,?,?,?,?
blinking,1,10,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump',-1178107808933117974,2.02207101253E7,13132.0,1459.0,889.0,570.0,0.0,60.932145305003424,39.067854694996576,0.0,0.0,0.4671822466814746,0.48190161882583865,98.11083996393994,98.77004360876039,1408.2799838522324,1382.4294402768892,25.85054357534318,0.9652364522633532,0.9475184648916307,0.017717987371722536,26.404640566501577,0.018097765981152553,1.8749567464755046,0.0,0.0,0.0,0.0,1.0,889.0,1.0,570.0,NaN,0.0,NaN,NaN,0.596060031969688,0.46037183633561407,0.6093214530500343,0.6093214530500343,0.39067854694996573,0.39067854694996573,NaN,0.6093214530500343,NaN,NaN,0.596060031969688,0.5905891785864358,NaN,0.6093214530500343,0.104,0.0,0.09375,0.0,93.75,0.0,3910.0,802317.0,90264.0,100.0,100.0,?,?,?,?,?,?,?
