Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureAttributesUsed,measureNumIterations
blinking,1,1,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,2.02207101101E7,13131.0,1460.0,889.0,571.0,0.0,60.89041095890411,39.10958904109589,0.0,0.0,0.47601133607215057,0.48927131721478,99.94802862334551,100.26137802579133,1409.6346030194102,1415.1153764625628,-5.480773443152657,0.9655031527530207,0.9692571071661389,-0.0037539544131182582,-4.948242454486536,-0.0033892071606072163,-0.3510301495073614,0.0,0.0,0.0,0.0,1.0,889.0,1.0,571.0,NaN,0.0,NaN,NaN,0.5084482653328579,0.395360266151648,0.6089041095890411,0.6089041095890411,0.3910958904109589,0.3910958904109589,NaN,0.6089041095890411,NaN,NaN,0.5084482653328579,0.5198402582202678,NaN,0.6089041095890411,0.027,0.001,0.03125,0.0,31.25,0.0,6812.0,802256.0,90325.0,100.0,100.0,?,?,?
blinking,1,2,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,2.02207101101E7,13132.0,1459.0,888.0,571.0,0.0,60.86360520904729,39.13639479095271,0.0,0.0,0.4736234479279017,0.48687732595453403,99.43579386497306,99.75855807879367,1408.9192174479515,1403.9639748937152,4.955242554236293,0.965674583583243,0.9622782555817102,0.003396328001532757,6.159149113788118,0.004221486712671774,0.4371541701975295,0.0,0.0,0.0,0.0,1.0,888.0,1.0,571.0,NaN,0.0,NaN,NaN,0.5377873495211499,0.4245006373805866,0.6086360520904729,0.6086360520904729,0.39136394790952705,0.39136394790952705,NaN,0.6086360520904729,NaN,NaN,0.5377873495211499,0.5380718367089543,NaN,0.6086360520904729,0.026,0.001,0.03125,0.0,31.25,0.0,6812.0,802317.0,90264.0,100.0,100.0,?,?,?
blinking,1,3,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,2.02207101101E7,13132.0,1459.0,888.0,571.0,0.0,60.86360520904729,39.13639479095271,0.0,0.0,0.4734131311840108,0.48624058823000654,99.39163850804685,99.62809392717456,1408.9192174479515,1401.1212859464772,7.797931501474295,0.965674583583243,0.9603298738495388,0.005344709733704109,6.829125880528146,0.004680689431479195,0.484706702553046,0.0,0.0,0.0,0.0,1.0,888.0,1.0,571.0,NaN,0.0,NaN,NaN,0.549389801360029,0.43133493455885624,0.6086360520904729,0.6086360520904729,0.39136394790952705,0.39136394790952705,NaN,0.6086360520904729,NaN,NaN,0.5493898013600289,0.5548419049168966,NaN,0.6086360520904729,0.04,0.001,0.03125,0.0,31.25,0.0,6812.0,802317.0,90264.0,100.0,100.0,?,?,?
blinking,1,4,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,2.02207101101E7,13132.0,1459.0,888.0,571.0,0.0,60.86360520904729,39.13639479095271,0.0,0.0,0.4730458123086034,0.4861641789249648,99.31452103394896,99.61243806955207,1408.9192174479515,1400.747010271682,8.172207176269467,0.965674583583243,0.9600733449428938,0.005601238640349189,8.290653745624187,0.005682422032641663,0.5884406744512632,0.0,0.0,0.0,0.0,1.0,888.0,1.0,571.0,NaN,0.0,NaN,NaN,0.5534426720941608,0.4248579117366482,0.6086360520904729,0.6086360520904729,0.39136394790952705,0.39136394790952705,NaN,0.6086360520904729,NaN,NaN,0.5534426720941608,0.5552675993663843,NaN,0.6086360520904729,0.023,0.001,0.015625,0.0,15.625,0.0,6812.0,802317.0,90264.0,100.0,100.0,?,?,?
blinking,1,5,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,2.02207101101E7,13132.0,1459.0,888.0,571.0,0.0,60.86360520904729,39.13639479095271,0.0,0.0,0.47381130674386107,0.48676208409834315,99.475234248639,99.73494563929181,1408.9192174479515,1403.411554529095,5.507662918856568,0.965674583583243,0.9618996261337183,0.0037749574495247206,5.4803675747880884,0.003756249194508628,0.3889767068913264,0.0,0.0,0.0,0.0,1.0,888.0,1.0,571.0,NaN,0.0,NaN,NaN,0.5388050046543917,0.4247157619897417,0.6086360520904729,0.6086360520904729,0.39136394790952705,0.39136394790952705,NaN,0.6086360520904729,NaN,NaN,0.5388050046543919,0.5462266690210755,NaN,0.6086360520904729,0.025,0.0,0.03125,0.0,31.25,0.0,6812.0,802317.0,90264.0,100.0,100.0,?,?,?
blinking,1,6,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,2.02207101101E7,13132.0,1459.0,889.0,570.0,0.0,60.932145305003424,39.067854694996576,0.0,0.0,0.4726716372161818,0.4858105441886506,99.26364215211345,99.5712127965482,1408.2799838522324,1399.3288320488589,8.951151803373477,0.9652364522633532,0.9591013242281418,0.006135128035211431,9.606639680441589,0.006584400055134742,0.6821541022093794,0.0,0.0,0.0,0.0,1.0,889.0,1.0,570.0,NaN,0.0,NaN,NaN,0.5536242180253784,0.43929848959418555,0.6093214530500343,0.6093214530500343,0.39067854694996573,0.39067854694996573,NaN,0.6093214530500343,NaN,NaN,0.5536242180253784,0.5610591552705596,NaN,0.6093214530500343,0.023,0.001,0.03125,0.0,31.25,0.0,6812.0,802317.0,90264.0,100.0,100.0,?,?,?
blinking,1,7,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,2.02207101101E7,13132.0,1459.0,889.0,570.0,0.0,60.932145305003424,39.067854694996576,0.0,0.0,0.47341496955165835,0.48622806492409953,99.41974602875688,99.65678740272679,1408.2799838522324,1401.2898947730923,6.990089079140034,0.9652364522633532,0.9604454385010914,0.004791013762261847,7.383530655491734,0.00506067899622463,0.5242942270112158,0.0,0.0,0.0,0.0,1.0,889.0,1.0,570.0,NaN,0.0,NaN,NaN,0.5402344443786632,0.4416768158328599,0.6093214530500343,0.6093214530500343,0.39067854694996573,0.39067854694996573,NaN,0.6093214530500343,NaN,NaN,0.5402344443786632,0.547623429049658,NaN,0.6093214530500343,0.022,0.0,0.03125,0.0,31.25,0.0,6812.0,802317.0,90264.0,100.0,100.0,?,?,?
blinking,1,8,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,2.02207101101E7,13132.0,1459.0,889.0,570.0,0.0,60.932145305003424,39.067854694996576,0.0,0.0,0.47279417064649826,0.4862061304969328,99.28937484606192,99.65229174584755,1408.2799838522324,1401.013708312604,7.266275539628396,0.9652364522633532,0.9602561400360549,0.00498031222729842,8.97354099390169,0.006150473607883269,0.6371986463483857,0.0,0.0,0.0,0.0,1.0,889.0,1.0,570.0,NaN,0.0,NaN,NaN,0.5471020069859689,0.42692522867581284,0.6093214530500343,0.6093214530500343,0.39067854694996573,0.39067854694996573,NaN,0.6093214530500343,NaN,NaN,0.5471020069859689,0.5501517191171564,NaN,0.6093214530500343,0.022,0.0,0.03125,0.0,31.25,0.0,6812.0,802317.0,90264.0,100.0,100.0,?,?,?
blinking,1,9,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,2.02207101101E7,13132.0,1459.0,889.0,570.0,0.0,60.932145305003424,39.067854694996576,0.0,0.0,0.47361288569828175,0.4867461459359208,99.46130950751828,99.7629727362709,1408.2799838522324,1403.315201085632,4.964782766600365,0.9652364522633532,0.9618335853911117,0.0034028668722415113,5.335940340569128,0.003657258629588162,0.37889769092457803,0.0,0.0,0.0,0.0,1.0,889.0,1.0,570.0,NaN,0.0,NaN,NaN,0.5382432459100507,0.41687156700999856,0.6093214530500343,0.6093214530500343,0.39067854694996573,0.39067854694996573,NaN,0.6093214530500343,NaN,NaN,0.5382432459100507,0.5406506251448392,NaN,0.6093214530500343,0.023,0.001,0.015625,0.0,15.625,0.0,6812.0,802317.0,90264.0,100.0,100.0,?,?,?
blinking,1,10,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,2.02207101101E7,13132.0,1459.0,889.0,570.0,0.0,60.932145305003424,39.067854694996576,0.0,0.0,0.47253794050829856,0.48589881278276587,99.23556510850999,99.5893042337824,1408.2799838522324,1399.6880213873428,8.591962464889548,0.9652364522633532,0.9593475129454029,0.0058889393179503416,10.256961376646858,0.0070301311697373945,0.7283325399960452,0.0,0.0,0.0,0.0,1.0,889.0,1.0,570.0,NaN,0.0,NaN,NaN,0.5522566258165098,0.42733310590947204,0.6093214530500343,0.6093214530500343,0.39067854694996573,0.39067854694996573,NaN,0.6093214530500343,NaN,NaN,0.5522566258165098,0.553615035501215,NaN,0.6093214530500343,0.023,0.001,0.015625,0.0,15.625,0.0,6812.0,802317.0,90264.0,100.0,100.0,?,?,?
