Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureExtraArcs,measureMissingArcs,measureReversedArcs,measureDivergence,measureBayesScore,measureBDeuScore,measureMDLScore,measureAICScore,measureEntropyScore
blinking,1,1,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.0220704210300002E7,13131.0,1460.0,871.0,589.0,0.0,59.657534246575345,40.342465753424655,0.0,0.1241617847161678,0.45330783719677387,0.48513309243614655,95.18097838002463,99.41337385246652,1409.6346030194102,1397.6996070707557,11.934995948654432,0.9655031527530207,0.9573284979936684,0.00817465475935235,68.03997042302821,0.04660271946782754,4.826780661973529,0.3922942206654991,224.0,0.2722159730033746,242.0,0.7277840269966255,647.0,0.6077057793345009,347.0,0.48068669527896996,0.3922942206654991,0.43201542912246865,0.12570342923446992,0.5899365468983627,0.47026411686094804,0.5965753424657534,0.47649709480362895,0.5235029051963711,0.40342465753424656,0.5843335839601073,0.5965753424657534,0.5873991391194736,0.12570342923446992,0.5899365468983627,0.5946462940105142,0.559608351842169,0.5965753424657534,0.114,0.009,0.109375,0.015625,109.375,15.625,7961.0,802256.0,90325.0,100.0,100.0,?,0.0,0.0,0.0,0.0,-50989.36162885556,-51072.17378369833,-51066.69425384906,-50950.71192139824,-50919.71192139824
blinking,1,2,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.0220704210300002E7,13132.0,1459.0,925.0,534.0,0.0,63.39958875942426,36.60041124057574,0.0,0.18806926421362866,0.44097562768198534,0.47914533373826246,92.58148388873259,98.17431425914259,1408.9192174479515,1371.2745348527167,37.644682595234826,0.965674583583243,0.9398728820100868,0.02580170157315615,111.0337405310054,0.07610263230363633,7.880774082429409,0.38178633975481613,218.0,0.20382882882882883,181.0,0.7961711711711712,707.0,0.6182136602451839,353.0,0.5463659147869674,0.38178633975481613,0.4494845360824742,0.1948504796582488,0.6157050220097505,0.5068728304807092,0.6339958875942426,0.45603837666825536,0.5439616233317446,0.36600411240575736,0.6197766844594772,0.6339958875942426,0.617704330889918,0.1948504796582488,0.6157050220097505,0.6188235342558258,0.5876786130104363,0.6339958875942426,0.051,0.001,0.046875,0.015625,46.875,15.625,8779.0,802317.0,90264.0,100.0,99.7943797121316,?,0.0,0.0,0.0,0.0,-55684.98097616662,-55910.40767285769,-55893.81835461269,-55673.075539893354,-55614.075539893354
blinking,1,3,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.0220704210300002E7,13132.0,1459.0,918.0,541.0,0.0,62.919808087731326,37.080191912268674,0.0,0.18416387854432614,0.45045140332176675,0.4783070896770679,94.57089399363826,98.00256253770242,1408.9192174479515,1367.779330859623,41.13988658832841,0.965674583583243,0.9374772658393579,0.028197317743885134,80.50432277141793,0.05517774007636596,5.7139062179334585,0.3975481611208406,227.0,0.22184684684684686,197.0,0.7781531531531531,691.0,0.6024518388791593,344.0,0.535377358490566,0.3975481611208406,0.4562814070351759,0.1888628086343891,0.6215545668260204,0.495634151228037,0.6291980808773132,0.4534967666033194,0.5465032333966805,0.3708019191226868,0.6158728188571665,0.6291980808773132,0.6159798015976491,0.18886280863438906,0.6215545668260204,0.614881148434877,0.587475076892523,0.6291980808773132,0.037,0.001,0.046875,0.0,46.875,0.0,7782.0,802317.0,90264.0,100.0,100.0,?,0.0,0.0,0.0,0.0,-47764.807957809455,-47828.38131817802,-47822.276827246824,-47728.74173626406,-47703.74173626406
blinking,1,4,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.0220704210300002E7,13132.0,1459.0,887.0,572.0,0.0,60.795065113091155,39.204934886908845,0.0,0.14497938642864758,0.4546313021189143,0.48249690849738064,95.44845095790596,98.86103398799301,1408.9192174479515,1386.03672318334,22.882494264611523,0.965674583583243,0.9499909000571213,0.015683683526121674,65.01565190085185,0.04456179019935014,4.614576272060373,0.39404553415061294,225.0,0.2545045045045045,226.0,0.7454954954954955,662.0,0.6059544658493871,346.0,0.49889135254988914,0.39404553415061294,0.44031311154598823,0.14736960628324916,0.6035809233050914,0.4801274249502354,0.6079506511309116,0.46840962148480314,0.531590378515197,0.39204934886908843,0.5949674012998375,0.6079506511309116,0.5973406802711063,0.14736960628324916,0.6035809233050914,0.6003633568824581,0.569312673916454,0.6079506511309116,0.03,0.003,0.03125,0.0,31.25,0.0,7668.0,802317.0,90264.0,100.0,100.0,?,0.0,0.0,0.0,0.0,-45629.92084511254,-45677.46759846067,-45673.60039227643,-45595.030915850904,-45574.030915850904
blinking,1,5,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.0220704210300002E7,13132.0,1459.0,902.0,557.0,0.0,61.82316655243317,38.17683344756683,0.0,0.15505239703844179,0.44659412596194586,0.4842466518527867,93.76107041309298,99.21954703602015,1408.9192174479515,1396.8208790663853,12.098338381566236,0.965674583583243,0.9573823708474196,0.008292212735823328,91.8396794297165,0.06294700440693386,6.5184489140598485,0.36777583187390545,210.0,0.22072072072072071,196.0,0.7792792792792793,692.0,0.6322241681260946,361.0,0.5172413793103449,0.36777583187390545,0.4298874104401229,0.16015019005398728,0.6054377494832837,0.4973535361781301,0.6182316655243317,0.471176554371147,0.528823445628853,0.38176833447566827,0.6024069768013424,0.6182316655243317,0.6022209483224285,0.1601501900539873,0.6054377494832837,0.6098643760639845,0.5714609643648323,0.6182316655243317,0.029,0.003,0.03125,0.0,31.25,0.0,8677.0,802317.0,90264.0,99.86291980808772,99.65729952021933,?,0.0,0.0,0.0,0.0,-60311.1986533028,-60499.45810639658,-60487.442218027274,-60281.66501786519,-60226.66501786519
blinking,1,6,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.0220704210300002E7,13132.0,1459.0,882.0,577.0,0.0,60.45236463331049,39.54763536668951,0.0,0.16061890475236137,0.45189943585925646,0.48263046686823596,94.90136567969961,98.91942752887908,1408.2799838522324,1386.52099517935,21.758988672882424,0.9652364522633532,0.9503228205478752,0.014913631715478015,74.16232269141717,0.050830927135995324,5.266163230450264,0.4649122807017544,265.0,0.3059617547806524,272.0,0.6940382452193475,617.0,0.5350877192982456,305.0,0.4934823091247672,0.4649122807017544,0.47877145438121044,0.16080430603488374,0.6013715390839303,0.4792612466060783,0.6045236463331048,0.44557312041200287,0.5544268795879971,0.39547635366689515,0.6005492817692489,0.6045236463331048,0.6022321928077529,0.16080430603488374,0.6013715390839303,0.6004297330838192,0.5800814753960166,0.6045236463331048,0.015,0.005,0.015625,0.015625,15.625,15.625,8026.0,802317.0,90264.0,100.0,100.0,?,0.0,0.0,0.0,0.0,-52537.176648541405,-52627.08494993211,-52622.11907827633,-52498.65275817908,-52465.65275817908
blinking,1,7,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.0220704210300002E7,13132.0,1459.0,855.0,604.0,0.0,58.60178204249486,41.39821795750514,0.0,0.096925861174932,0.4569494588751426,0.4888205866135419,95.961898273661,100.18814789275126,1408.2799838522324,1412.8032357337493,-4.523251881516899,0.9652364522633532,0.9683366934432825,-0.003100241179929334,54.796399563638225,0.037557504841424415,3.8910160047682596,0.36666666666666664,209.0,0.27334083239595053,243.0,0.7266591676040495,646.0,0.6333333333333333,361.0,0.46238938053097345,0.36666666666666664,0.4090019569471624,0.09847052118436145,0.5803623231306613,0.45010051753957464,0.5860178204249485,0.49269198615423243,0.5073080138457675,0.4139821795750514,0.5715310717581272,0.5860178204249485,0.5750010103561835,0.09847052118436143,0.5803623231306613,0.5836578876090851,0.5452182780516402,0.5860178204249485,0.018,0.001,0.015625,0.0,15.625,0.0,7908.0,802317.0,90264.0,100.0,100.0,?,0.0,0.0,0.0,0.0,-50640.69881327738,-50715.32345587813,-50710.66636443522,-50602.16565889522,-50573.16565889522
blinking,1,8,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.0220704210300002E7,13132.0,1459.0,878.0,581.0,0.0,60.17820424948595,39.82179575051405,0.0,0.13103037522334712,0.4517012714626625,0.4866663690954228,94.85975006707972,99.74662175983268,1408.2799838522324,1406.0361599797272,2.243823872505118,0.9652364522633532,0.9636985332280515,0.0015379190353016572,72.64926760650987,0.04979387772893068,5.158723296470057,0.38596491228070173,220.0,0.25984251968503935,231.0,0.7401574803149606,658.0,0.6140350877192983,350.0,0.4878048780487805,0.38596491228070173,0.43095004897159644,0.13315637765536453,0.5933357014583703,0.46714123723419587,0.6017820424948594,0.47565964989919707,0.5243403501008029,0.3982179575051405,0.5883264050255308,0.6017820424948594,0.5910656443771639,0.13315637765536453,0.5933357014583704,0.5924267529514886,0.5623384931204846,0.6017820424948594,0.012,0.001,0.015625,0.0,15.625,0.0,8197.0,802317.0,90264.0,100.0,100.0,?,0.0,0.0,0.0,0.0,-54742.228451516006,-54857.605766238026,-54848.36031676449,-54702.44557483138,-54663.44557483138
blinking,1,9,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.0220704210300002E7,13132.0,1459.0,879.0,580.0,0.0,60.24674434544208,39.75325565455792,0.0,0.1142785968628912,0.45031779057641774,0.48277220916224034,94.56921147579615,98.94847887880839,1408.2799838522324,1386.5459433060453,21.73404054618709,0.9652364522633532,0.9503399200178515,0.014896532245501774,78.84693814423674,0.05404176706253375,5.598811248354005,0.33157894736842103,189.0,0.22384701912260968,199.0,0.7761529808773904,690.0,0.6684210526315789,381.0,0.48711340206185566,0.33157894736842103,0.394572025052192,0.118965803796083,0.6068034258875535,0.4692976275134934,0.6024674434544208,0.4947355152086094,0.5052644847913905,0.3975325565455792,0.5828647958975143,0.6024674434544208,0.5831628688884996,0.118965803796083,0.6068034258875535,0.6010446420725069,0.5493268288526266,0.6024674434544208,0.014,0.001,0.0,0.015625,0.0,15.625,7896.0,802317.0,90264.0,100.0,100.0,?,0.0,0.0,0.0,0.0,-48999.14952714224,-49073.774169742996,-49071.945683841295,-48963.44497830129,-48934.44497830129
blinking,1,10,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.0220704210300002E7,13132.0,1459.0,926.0,533.0,0.0,63.4681288553804,36.5318711446196,0.0,0.1863242515336589,0.44599841876141144,0.4764413869960415,93.66211965050304,97.65092029629459,1408.2799838522324,1359.3566457167503,48.92333813548203,0.9652364522633532,0.9317043493603497,0.033532102903003444,97.43055746082082,0.0667789975742432,6.918408170107457,0.3736842105263158,213.0,0.19797525309336333,176.0,0.8020247469066367,713.0,0.6263157894736842,357.0,0.5475578406169666,0.3736842105263158,0.4442127215849843,0.19387219201944708,0.6200984745327887,0.505117921379286,0.634681288553804,0.4589723311208515,0.5410276688791484,0.36531871144619604,0.6199435838093482,0.634681288553804,0.6170831208042601,0.19387219201944708,0.6200984745327887,0.615659461856459,0.5860675654887658,0.634681288553804,0.011,0.0,0.015625,0.0,15.625,0.0,7847.0,802317.0,90264.0,100.0,100.0,?,0.0,0.0,0.0,0.0,-49107.273820484574,-49174.05936830692,-49172.02250907633,-49071.00461081494,-49044.00461081494
