Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
blinking,1,1,weka.classifiers.trees.DecisionStump,'',1618384535950391,2.0220710133199997E7,13131.0,1460.0,889.0,571.0,0.0,60.89041095890411,39.10958904109589,0.0,0.0,0.47249228750611866,0.4870998967476139,99.20913452534572,99.81641098878862,1409.6346030194102,1405.7747523844016,3.85985063500857,0.9655031527530207,0.962859419441371,0.0026437333116497053,6.117764705206273,0.0041902497980864884,0.4339964904452642,0.0,0.0,0.0,0.0,1.0,889.0,1.0,571.0,NaN,0.0,NaN,NaN,0.5372700785431593,0.4106791035110498,0.6089041095890411,0.6089041095890411,0.3910958904109589,0.3910958904109589,NaN,0.6089041095890411,NaN,NaN,0.5372700785431592,0.5427501710735624,NaN,0.6089041095890411,0.009,0.0,0.015625,0.0,15.625,0.0,1562.0,802256.0,90325.0,100.0,100.0,?
blinking,1,2,weka.classifiers.trees.DecisionStump,'',1618384535950391,2.0220710133199997E7,13132.0,1459.0,888.0,571.0,0.0,60.86360520904729,39.13639479095271,0.0,0.0,0.4708124086162346,0.4853313200039779,98.84562476172415,99.44178973451649,1408.9192174479515,1397.2216640318097,11.697553416141773,0.965674583583243,0.9576570692472993,0.00801751433594364,13.791445712017005,0.00945267012475463,0.9788670309287261,0.0,0.0,0.0,0.0,1.0,888.0,1.0,571.0,NaN,0.0,NaN,NaN,0.5536783499787002,0.4207572274610979,0.6086360520904729,0.6086360520904729,0.39136394790952705,0.39136394790952705,NaN,0.6086360520904729,NaN,NaN,0.5536783499787002,0.5518333108086139,NaN,0.6086360520904729,0.007,0.001,0.0,0.0,0.0,0.0,1562.0,802317.0,90264.0,100.0,100.0,?
blinking,1,3,weka.classifiers.trees.DecisionStump,'',1618384535950391,2.0220710133199997E7,13132.0,1459.0,888.0,571.0,0.0,60.86360520904729,39.13639479095271,0.0,0.0,0.4708756133882195,0.4850211384770982,98.85889441023052,99.37823519990445,1408.9192174479515,1395.8851144904759,13.034102957475625,0.965674583583243,0.9567409969091678,0.008933586674075136,13.64744343516758,0.009353970826023015,0.9686462691514636,0.0,0.0,0.0,0.0,1.0,888.0,1.0,571.0,NaN,0.0,NaN,NaN,0.5567421624777141,0.42256738159548746,0.6086360520904729,0.6086360520904729,0.39136394790952705,0.39136394790952705,NaN,0.6086360520904729,NaN,NaN,0.5567421624777141,0.5535907113039852,NaN,0.6086360520904729,0.005,0.001,0.0,0.0,0.0,0.0,1562.0,802317.0,90264.0,100.0,100.0,?
blinking,1,4,weka.classifiers.trees.DecisionStump,'',1618384535950391,2.0220710133199997E7,13132.0,1459.0,888.0,571.0,0.0,60.86360520904729,39.13639479095271,0.0,0.0,0.4699240204550552,0.484421143419168,98.65911038526414,99.25529942400613,1408.9192174479515,1393.3285220872972,15.590695360654308,0.965674583583243,0.9549887060228219,0.010685877560421048,17.727341462586047,0.012150336848928064,1.2582227031225042,0.0,0.0,0.0,0.0,1.0,888.0,1.0,571.0,NaN,0.0,NaN,NaN,0.5622485445164955,0.4261981726786369,0.6086360520904729,0.6086360520904729,0.39136394790952705,0.39136394790952705,NaN,0.6086360520904729,NaN,NaN,0.5622485445164955,0.5568388900971429,NaN,0.6086360520904729,0.006,0.0,0.0,0.0,0.0,0.0,1562.0,802317.0,90264.0,100.0,100.0,?
blinking,1,5,weka.classifiers.trees.DecisionStump,'',1618384535950391,2.0220710133199997E7,13132.0,1459.0,888.0,571.0,0.0,60.86360520904729,39.13639479095271,0.0,0.0,0.4711259175758544,0.48532637306342974,98.9114450086312,99.44077613287666,1408.9192174479515,1397.189145140116,11.730072307835599,0.965674583583243,0.9576347807677286,0.00803980281551446,12.45207556621337,0.008534664541613002,0.8838033729689954,0.0,0.0,0.0,0.0,1.0,888.0,1.0,571.0,NaN,0.0,NaN,NaN,0.5539268471623988,0.4207938503131428,0.6086360520904729,0.6086360520904729,0.39136394790952705,0.39136394790952705,NaN,0.6086360520904729,NaN,NaN,0.5539268471623989,0.5519597663009951,NaN,0.6086360520904729,0.029,0.002,0.03125,0.0,31.25,0.0,1562.0,802317.0,90264.0,100.0,100.0,?
blinking,1,6,weka.classifiers.trees.DecisionStump,'',1618384535950391,2.0220710133199997E7,13132.0,1459.0,889.0,570.0,0.0,60.932145305003424,39.067854694996576,0.0,0.0,0.4707158502814858,0.48536037225397394,98.85291614461525,99.47894603527898,1408.2799838522324,1397.361991589736,10.917992262496455,0.9652364522633532,0.9577532498901549,0.007483202373198393,13.516813033450813,0.00926443662333846,0.9598100653590701,0.0,0.0,0.0,0.0,1.0,889.0,1.0,570.0,NaN,0.0,NaN,NaN,0.5519576500305883,0.4190313056850227,0.6093214530500343,0.6093214530500343,0.39067854694996573,0.39067854694996573,NaN,0.6093214530500343,NaN,NaN,0.5519576500305883,0.5511314527189557,NaN,0.6093214530500343,0.012,0.001,0.015625,0.0,15.625,0.0,1562.0,802317.0,90264.0,100.0,100.0,?
blinking,1,7,weka.classifiers.trees.DecisionStump,'',1618384535950391,2.0220710133199997E7,13132.0,1459.0,889.0,570.0,0.0,60.932145305003424,39.067854694996576,0.0,0.0,0.4714524568906129,0.4858561295106509,99.0076075817531,99.58055591569533,1408.2799838522324,1399.4765410456519,8.803442806580506,0.9652364522633532,0.9592025641162796,0.006033888147073685,10.318168254071447,0.007072082422255961,0.732678755104291,0.0,0.0,0.0,0.0,1.0,889.0,1.0,570.0,NaN,0.0,NaN,NaN,0.5475924062123814,0.416286960084875,0.6093214530500343,0.6093214530500343,0.39067854694996573,0.39067854694996573,NaN,0.6093214530500343,NaN,NaN,0.5475924062123815,0.5486393300326627,NaN,0.6093214530500343,0.015,0.001,0.015625,0.0,15.625,0.0,1562.0,802317.0,90264.0,100.0,100.0,?
blinking,1,8,weka.classifiers.trees.DecisionStump,'',1618384535950391,2.0220710133199997E7,13132.0,1459.0,889.0,570.0,0.0,60.932145305003424,39.067854694996576,0.0,0.0,0.4699065438594694,0.48496771241525577,98.68295734713043,99.39846689207108,1408.2799838522324,1395.6990762773876,12.580907574844787,0.9652364522633532,0.956613486139402,0.00862296612395119,17.08365210272423,0.011709151544019348,1.213086339265671,0.0,0.0,0.0,0.0,1.0,889.0,1.0,570.0,NaN,0.0,NaN,NaN,0.5552444102381939,0.421300474624983,0.6093214530500343,0.6093214530500343,0.39067854694996573,0.39067854694996573,NaN,0.6093214530500343,NaN,NaN,0.5552444102381939,0.553064152496941,NaN,0.6093214530500343,0.012,0.001,0.015625,0.0,15.625,0.0,1562.0,802317.0,90264.0,100.0,100.0,?
blinking,1,9,weka.classifiers.trees.DecisionStump,'',1618384535950391,2.0220710133199997E7,13132.0,1459.0,889.0,570.0,0.0,60.932145305003424,39.067854694996576,0.0,0.0,0.46943432183077,0.4839080680943136,98.5837881252384,99.18128331828636,1408.2799838522324,1391.1559757408406,17.12400811139173,0.9652364522633532,0.9534996406722691,0.01173681159108412,19.352750506245197,0.013264393767131732,1.3742118561755998,0.0,0.0,0.0,0.0,1.0,889.0,1.0,570.0,NaN,0.0,NaN,NaN,0.5656572533696446,0.4277952140595924,0.6093214530500343,0.6093214530500343,0.39067854694996573,0.39067854694996573,NaN,0.6093214530500343,NaN,NaN,0.5656572533696445,0.5591553079304168,NaN,0.6093214530500343,0.012,0.0,0.015625,0.0,15.625,0.0,1562.0,802317.0,90264.0,100.0,100.0,?
blinking,1,10,weka.classifiers.trees.DecisionStump,'',1618384535950391,2.0220710133199997E7,13132.0,1459.0,889.0,570.0,0.0,60.932145305003424,39.067854694996576,0.0,0.0,0.4688971269481207,0.4839791080575738,98.47097424685275,99.19584359365186,1408.2799838522324,1391.4714753713483,16.80850848088403,0.9652364522633532,0.9537158844217604,0.011520567841592892,21.49924002151334,0.01473559974058488,1.526631086717853,0.0,0.0,0.0,0.0,1.0,889.0,1.0,570.0,NaN,0.0,NaN,NaN,0.5646922424170663,0.4274424823328783,0.6093214530500343,0.6093214530500343,0.39067854694996573,0.39067854694996573,NaN,0.6093214530500343,NaN,NaN,0.5646922424170663,0.5586322922484799,NaN,0.6093214530500343,0.019,0.001,0.03125,0.0,31.25,0.0,1562.0,802317.0,90264.0,100.0,100.0,?
