Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureNumRules
blinking,1,1,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.0220710132799998E7,13131.0,1460.0,902.0,558.0,0.0,61.78082191780822,38.21917808219178,0.0,0.04924177883796209,0.4626153112453142,0.4829462788985815,97.13526730576892,98.96525247063313,1409.6346030194102,1388.64273477954,20.9918682398702,0.9655031527530207,0.9511251608079041,0.014377991945116575,40.321185393585516,0.02761725026957912,2.8603998019925383,0.07530647985989491,43.0,0.03374578177727784,30.0,0.9662542182227222,859.0,0.9246935201401051,528.0,0.589041095890411,0.07530647985989491,0.13354037267080746,0.0930576557094585,0.5839980378985026,0.45924060074365736,0.6178082191780822,0.5762475210954652,0.42375247890453493,0.3821917808219178,0.6074794323019032,0.6178082191780822,0.5118480313219211,0.09305765570945848,0.5839980378985025,0.5889508273246906,0.4441867065463001,0.6178082191780822,0.164,0.002,0.140625,0.0,140.625,0.0,9814.0,802256.0,90325.0,100.0,100.0,?,33.0
blinking,1,2,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.0220710132799998E7,13132.0,1459.0,878.0,581.0,0.0,60.17820424948595,39.82179575051405,0.0,-0.01288814699131197,0.4644633102104204,0.48271936932308857,97.5126509761757,98.90661502045971,1408.9192174479515,1384.9631797019988,23.9560377459527,0.965674583583243,0.9492550923248793,0.01641949125836374,30.19339901901489,0.02069458466005133,2.1430184672834374,0.0017513134851138354,1.0,0.012387387387387387,11.0,0.9876126126126126,877.0,0.9982486865148862,570.0,0.08333333333333333,0.0017513134851138354,0.0034305317324185253,-0.057475266634976555,0.5800022877518499,0.4384449572512493,0.6017820424948594,0.6124181163971331,0.3875818836028669,0.3982179575051405,0.40149674296390364,0.6017820424948594,0.4585364345650073,-0.05747526663497656,0.5800022877518499,0.585001186585806,0.37730413096256893,0.6017820424948594,0.07,0.001,0.0625,0.0,62.5,0.0,9685.0,802317.0,90264.0,100.0,100.0,?,32.0
blinking,1,3,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.0220710132799998E7,13132.0,1459.0,917.0,542.0,0.0,62.85126799177519,37.14873200822481,0.0,0.08255601343951274,0.4575578683060148,0.4769881652332911,96.06287457520337,97.73232197871131,1408.9192174479515,1361.0419467574004,47.877270690551086,0.965674583583243,0.9328594563107611,0.0328151272724819,59.682275194471885,0.04090628868709519,4.236032446386634,0.10507880910683012,60.0,0.03490990990990991,31.0,0.9650900900900901,857.0,0.8949211908931699,511.0,0.6593406593406593,0.10507880910683012,0.1812688821752266,0.14161376053476432,0.6192076489799783,0.4958131249771805,0.6285126799177518,0.5583437807208317,0.44165621927916826,0.3714873200822481,0.6393295148029826,0.6285126799177518,0.5333544250789167,0.14161376053476432,0.6192076489799783,0.6179826690572553,0.47051032761243594,0.6285126799177518,0.064,0.001,0.0625,0.0,62.5,0.0,9806.0,802317.0,90264.0,100.0,100.0,?,33.0
blinking,1,4,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.0220710132799998E7,13132.0,1459.0,917.0,542.0,0.0,62.85126799177519,37.14873200822481,0.0,0.10236379569467707,0.4619580642150958,0.48015182284302005,96.98668224413339,98.3805384894778,1408.9192174479515,1375.343171647404,33.57604580054749,0.965674583583243,0.9426615295732721,0.023013054009970862,46.35240784145303,0.03176998481251064,3.2899265811288703,0.15761821366024517,90.0,0.0686936936936937,61.0,0.9313063063063063,827.0,0.8423817863397548,481.0,0.5960264900662252,0.15761821366024517,0.24930747922437668,0.14247993909883408,0.6029941938435809,0.4755397764028513,0.6285126799177518,0.5395881599512004,0.4604118400487996,0.3714873200822481,0.6180813345525829,0.6285126799177518,0.5559870950856856,0.14247993909883408,0.6029941938435809,0.596820235041105,0.5012475465338642,0.6285126799177518,0.069,0.0,0.0625,0.0,62.5,0.0,7479.0,802317.0,90264.0,100.0,100.0,?,8.0
blinking,1,5,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.0220710132799998E7,13132.0,1459.0,900.0,559.0,0.0,61.6860863605209,38.3139136394791,0.0,0.06171690479011823,0.4633757032276254,0.4836001355840957,97.2843112176176,99.08707931304156,1408.9192174479515,1390.8962387847175,18.02297866323397,0.965674583583243,0.9533216167133088,0.012352966869934182,37.62284939702048,0.025786737078149748,2.670334035557319,0.11033274956217162,63.0,0.057432432432432436,51.0,0.9425675675675675,837.0,0.8896672504378283,508.0,0.5526315789473685,0.11033274956217162,0.18394160583941604,0.09619870921385595,0.5802073965383948,0.45604985504364637,0.6168608636052091,0.5639605464754699,0.4360394535245301,0.38313913639479097,0.5950372330560395,0.6168608636052091,0.5282607288989989,0.09619870921385595,0.5802073965383948,0.5839321810734381,0.46680286740694493,0.6168608636052091,0.08,0.001,0.0625,0.0,62.5,0.0,7955.0,802317.0,90264.0,99.93145990404386,99.8971898560658,?,12.0
blinking,1,6,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.0220710132799998E7,13132.0,1459.0,890.0,569.0,0.0,61.00068540095956,38.99931459904044,0.0,0.04951575360737525,0.4605517610422119,0.4814442858876172,96.71840153106336,98.67630913581566,1408.2799838522324,1380.0897776712793,28.190206180953055,0.9652364522633532,0.9459148578966959,0.019321594366657337,44.651196528902304,0.030603972946471766,3.170619268958342,0.11578947368421053,66.0,0.07311586051743532,65.0,0.9268841394825647,824.0,0.8842105263157894,504.0,0.5038167938931297,0.11578947368421053,0.18830242510699,0.07283045765922821,0.5973546069899157,0.4665851322282084,0.6100068540095956,0.5673332408428203,0.4326667591571796,0.3899931459904044,0.5749033627512158,0.6100068540095956,0.5265029098110192,0.07283045765922821,0.5973546069899157,0.5990433073457603,0.4658246451200264,0.6100068540095956,0.083,0.001,0.078125,0.0,78.125,0.0,10957.0,802317.0,90264.0,100.0,100.0,?,44.0
blinking,1,7,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.0220710132799998E7,13132.0,1459.0,896.0,563.0,0.0,61.41192597669637,38.58807402330363,0.0,0.06568080249237641,0.4608761797076337,0.48239550621711175,96.78653123417304,98.87127024355094,1408.2799838522324,1383.3324320101049,24.947551842127496,0.9652364522633532,0.9481373762920526,0.017099075971300545,43.56096925367068,0.02985673012588806,3.093203748768287,0.1368421052631579,78.0,0.0798650168728909,71.0,0.9201349831271091,818.0,0.8631578947368421,492.0,0.5234899328859061,0.1368421052631579,0.2169680111265647,0.09180361409363273,0.5891796420184319,0.4528736786369739,0.6141192597669637,0.5571421713766967,0.44285782862330336,0.3858807402330363,0.5849933463189291,0.6141192597669637,0.5380843913369464,0.09180361409363273,0.589179642018432,0.5963689909604474,0.4804712725028003,0.6141192597669637,0.148,0.002,0.125,0.0,125.0,0.0,11194.0,802317.0,90264.0,100.0,100.0,?,46.0
blinking,1,8,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.0220710132799998E7,13132.0,1459.0,891.0,568.0,0.0,61.0692254969157,38.9307745030843,0.0,0.031013661726119912,0.4590186918835396,0.48221530765746634,96.39644858026406,98.83433693828881,1408.2799838522324,1383.0348522939012,25.245131558331195,0.9652364522633532,0.9479334148690207,0.017303037394332553,49.46693787716324,0.03390468668756905,3.512578354046513,0.06666666666666667,38.0,0.04049493813273341,36.0,0.9595050618672666,853.0,0.9333333333333333,532.0,0.5135135135135135,0.06666666666666667,0.11801242236024845,0.05819423569708489,0.5962297475973398,0.4648244516266108,0.6106922549691569,0.5845205264352237,0.4154794735647763,0.38930774503084303,0.575890337451468,0.6106922549691569,0.5032299871705559,0.05819423569708489,0.5962297475973398,0.595925611764857,0.43411614961460093,0.6106922549691569,0.12,0.001,0.125,0.0,125.0,0.0,10536.0,802317.0,90264.0,100.0,99.96572995202193,?,40.0
blinking,1,9,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.0220710132799998E7,13132.0,1459.0,886.0,573.0,0.0,60.726525017135025,39.273474982864975,0.0,0.03079855270220596,0.46138933001758414,0.4819135731629019,96.89429562011581,98.77249375697929,1408.2799838522324,1381.8820427070023,26.397941145230106,0.9652364522633532,0.9471432780719686,0.018093174191384582,43.21458448750587,0.029619317674781265,3.068607449017061,0.0824561403508772,47.0,0.0562429696287964,50.0,0.9437570303712036,839.0,0.9175438596491228,523.0,0.4845360824742268,0.0824561403508772,0.14092953523238383,0.05133734958413262,0.5965879265091864,0.4559421231830808,0.6072652501713502,0.5810520794492694,0.41894792055073055,0.39273474982864975,0.5646434467053154,0.6072652501713502,0.5092746712437043,0.05133734958413262,0.5965879265091864,0.5942239200560372,0.4431880017343616,0.6072652501713502,0.147,0.001,0.140625,0.0,140.625,0.0,9493.0,802317.0,90264.0,100.0,99.8971898560658,?,30.0
blinking,1,10,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.0220710132799998E7,13132.0,1459.0,902.0,557.0,0.0,61.82316655243317,38.17683344756683,0.0,0.06340377813402905,0.4581835750381458,0.47818711158431476,96.22106945198676,98.00872215247584,1408.2799838522324,1365.098349886674,43.181633965558376,0.9652364522633532,0.9356397189079328,0.02959673335542041,55.21667320542227,0.03784556079878154,3.9208590506542365,0.11052631578947368,63.0,0.0562429696287964,50.0,0.9437570303712036,839.0,0.8894736842105263,507.0,0.5575221238938053,0.11052631578947368,0.18448023426061494,0.09908163567065104,0.615849663528901,0.47961633924340796,0.6182316655243317,0.5639483193636544,0.4360516806363456,0.38176833447566827,0.5976192877196137,0.6182316655243317,0.5295406569840551,0.09908163567065104,0.615849663528901,0.6150325008646503,0.46763161601173925,0.6182316655243317,0.097,0.001,0.109375,0.0,109.375,0.0,10515.0,802317.0,90264.0,100.0,100.0,?,40.0
